Model,ROUGE-1,ROUGE-2,ROUGE-L,Inference Time (s),Model Size (Params),TOPSIS Score,Rank
t5-small,0.3782936180051034,0.14478094065790065,0.2588935959500475,13.205744743347168,60506624,0.7441185886506588,1
google/flan-t5-small,0.3224060671016946,0.12609475171192414,0.25122069777436207,13.126262903213501,76961152,0.6439619252914063,2
sshleifer/distilbart-cnn-12-6,0.39801344447645076,0.1869435205712016,0.3027408895074155,26.412705659866333,408451072,0.5206883320320653,3
facebook/bart-base,0.2917988866940934,0.12310943167503202,0.2006125221412724,42.676836252212524,139420416,0.3391769733581329,4
